year,Value,country_code,indicator
2022,36.0165130060141,MKD,NE.GDI.TOTL.ZS
2021,32.2207980039619,MKD,NE.GDI.TOTL.ZS
2024,,MLI,NE.GDI.TOTL.ZS
2023,18.9179777529698,MLI,NE.GDI.TOTL.ZS
2022,19.2328988260231,MLI,NE.GDI.TOTL.ZS
2021,21.7830659680432,MLI,NE.GDI.TOTL.ZS
2024,,MLT,NE.GDI.TOTL.ZS
2023,19.5540820486903,MLT,NE.GDI.TOTL.ZS
2022,25.1827377617187,MLT,NE.GDI.TOTL.ZS
2021,23.9702317713362,MLT,NE.GDI.TOTL.ZS
2024,,MMR,NE.GDI.TOTL.ZS
2023,,MMR,NE.GDI.TOTL.ZS
2022,,MMR,NE.GDI.TOTL.ZS
2021,,MMR,NE.GDI.TOTL.ZS
2024,,MNE,NE.GDI.TOTL.ZS
2023,27.5972752657923,MNE,NE.GDI.TOTL.ZS
2022,30.3051239884821,MNE,NE.GDI.TOTL.ZS
2021,26.6549158485896,MNE,NE.GDI.TOTL.ZS
2024,,MNG,NE.GDI.TOTL.ZS
2023,33.9003731595217,MNG,NE.GDI.TOTL.ZS
2022,42.3321000384678,MNG,NE.GDI.TOTL.ZS
2021,36.7190295728399,MNG,NE.GDI.TOTL.ZS
2024,,MOZ,NE.GDI.TOTL.ZS
2023,19.8824088883357,MOZ,NE.GDI.TOTL.ZS
2022,43.2043468044561,MOZ,NE.GDI.TOTL.ZS
2021,40.369313777893,MOZ,NE.GDI.TOTL.ZS
2024,,MRT,NE.GDI.TOTL.ZS
2023,42.399632595093,MRT,NE.GDI.TOTL.ZS
2022,49.0681215273204,MRT,NE.GDI.TOTL.ZS
2021,40.6159856690742,MRT,NE.GDI.TOTL.ZS
2024,,MUS,NE.GDI.TOTL.ZS
2023,23.666763712501,MUS,NE.GDI.TOTL.ZS
2022,20.4244092199848,MUS,NE.GDI.TOTL.ZS
2021,19.7931525646033,MUS,NE.GDI.TOTL.ZS
2024,,MWI,NE.GDI.TOTL.ZS
2023,,MWI,NE.GDI.TOTL.ZS
2022,,MWI,NE.GDI.TOTL.ZS
2021,,MWI,NE.GDI.TOTL.ZS
2024,,MYS,NE.GDI.TOTL.ZS
2023,22.4702448103035,MYS,NE.GDI.TOTL.ZS
