Country_ID,ISO3_Code,Country,Region,Income_Level,Lending_Type,Capital,Latitude,Longitude,Continent
156,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,Port Moresby,-9.47357,147.194,Oceania
157,POL,Poland,Europe & Central Asia,High income,IBRD,Warsaw,52.26,21.02,Europe
158,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified,San Juan,18.23,-66.0,North America
159,PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,Not classified,Pyongyang,39.0319,125.754,Asia
160,PRT,Portugal,Europe & Central Asia,High income,Not classified,Lisbon,38.7072,-9.13552,Europe
161,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD,Asuncion,-25.3005,-57.6362,South America
162,PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Not classified,Ramallah,32.0,35.3833,Asia
163,PYF,French Polynesia,East Asia & Pacific,High income,Not classified,Papeete,-17.535,-149.57,Oceania
164,QAT,Qatar,Middle East & North Africa,High income,Not classified,Doha,25.2948,51.5082,Asia
165,ROU,Romania,Europe & Central Asia,High income,IBRD,Bucharest,44.4479,26.0979,Europe
166,RUS,Russian Federation,Europe & Central Asia,High income,IBRD,Moscow,55.7558,37.6176,Europe
167,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA,Kigali,-1.95325,30.0587,Africa
168,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,Riyadh,24.6748,46.6977,Asia
169,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA,Khartoum,15.5932,32.5363,Africa
170,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA,Dakar,14.7247,-17.4734,Africa
171,SGP,Singapore,East Asia & Pacific,High income,Not classified,Singapore,1.28941,103.85,Asia
172,SLB,Solomon Islands,East Asia & Pacific,Lower middle income,IDA,Honiara,-9.42676,159.949,Oceania
173,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA,Freetown,8.4821,-13.2134,Africa
174,SLV,El Salvador,Latin America & Caribbean ,Upper middle income,IBRD,San Salvador,13.7034,-89.2073,North America
